"","zip","sdi_decile"
"399","02347",1
"400","02351",2
"401","02356",2
"402","02357",6
"403","02359",1
"404","02360",2
"405","02364",2
"406","02366",NA
"407","02367",1
"408","02368",6
"409","02370",3
"410","02375",2
"411","02379",1
"412","02382",3
"413","02420",1
"414","02421",1
"415","02445",4
"416","02446",6
"417","02451",3
"418","02452",4
"419","02453",6
"420","02457",1
"421","02458",2
"422","02459",1
"423","02460",3
"424","02461",1
"425","02462",2
"426","02464",2
"427","02465",1
"428","02466",5
"429","02467",3
"430","02468",1
"431","02472",4
"432","02474",3
"433","02476",3
"434","02478",3
"435","02481",1
"436","02482",1
"437","02492",1
"438","02493",1
"439","02494",2
"440","02532",2
"441","02534",4
"442","02535",2
"443","02536",2
"444","02537",1
"445","02538",7
"446","02539",2
"447","02540",3
"448","02542",3
"449","02543",2
"450","02553",NA
"451","02554",3
"452","02556",1
"453","02557",2
"454","02558",6
"455","02559",2
"456","02561",1
"457","02562",1
"458","02563",1
"459","02564",3
"460","02568",6
"461","02571",6
"462","02575",1
"463","02576",1
"464","02584",NA
"465","02601",8
"466","02630",1
"467","02631",2
"468","02632",1
"469","02633",2
"470","02635",1
"471","02637",1
"472","02638",2
"473","02639",6
"474","02641",1
"475","02642",1
"476","02643",NA
"477","02644",1
"478","02645",2
"479","02646",2
"480","02647",1
"481","02648",1
"482","02649",1
"483","02650",2
"484","02651",NA
"485","02652",1
"486","02653",2
"487","02655",2
"488","02657",4
"489","02659",1
"490","02660",2
"491","02663",1
"492","02664",3
"493","02666",2
"494","02667",3
"495","02668",1
"496","02669",1
"497","02670",3
"498","02671",1
"499","02672",1
"500","02673",4
"501","02675",1
"502","02702",1
"503","02703",4
"504","02713",2
"505","02715",1
"506","02717",2
"507","02718",4
"508","02719",4
"509","02720",9
"510","02721",10
"511","02723",10
"512","02724",10
"513","02725",4
"514","02726",2
"515","02738",2
"516","02739",1
"517","02740",9
"518","02743",3
"519","02744",10
"520","02745",8
"521","02746",10
"522","02747",5
"523","02748",3
"524","02760",4
"525","02762",2
"526","02763",1
"527","02764",1
"528","02766",2
"529","02767",1
"530","02769",1
"531","02770",1
"532","02771",2
"533","02777",2
"534","02779",1
"535","02780",8
"536","02790",3
"537","02791",3
"538","02802",9
"539","02804",1
"540","02806",1
"541","02807",3
"542","02808",4
"543","02809",4
"544","02812",1
"545","02813",3
"546","02814",2
"547","02815",1
"548","02816",3
"549","02817",1
"550","02818",2
"551","02822",2
"552","02825",1
"553","02826",2
"554","02827",1
"555","02828",1
"556","02830",4
"557","02831",1
"558","02832",2
"559","02833",3
"560","02835",1
"561","02836",1
"562","02837",1
"563","02838",8
"564","02839",7
"565","02840",7
"566","02841",1
"567","02842",5
"568","02852",3
"569","02857",1
"570","02858",3
"571","02859",4
"572","02860",10
"573","02861",6
"574","02863",10
"575","02864",3
"576","02865",2
"577","02871",2
"578","02872",2
"579","02873",1
"580","02874",1
"581","02875",1
"582","02876",6
"583","02878",3
"584","02879",3
"585","02881",5
"586","02882",3
"587","02885",6
"588","02886",4
"589","02888",3
"590","02889",3
"591","02891",5
"592","02892",1
"593","02893",7
"594","02894",2
"595","02895",10
"596","02896",2
"597","02898",2
