"model","time","sex","outcome","term","coefficient"
"base","10yr","female","chd","egfr_gte_60",0.0325935
"base","10yr","male","chd","egfr_gte_60",0.0193687
"base","10yr","female","stroke","egfr_gte_60",0.0515087
"base","10yr","male","stroke","egfr_gte_60",0.0201965
"base","10yr","female","total_cvd","bp_tx",0.3151672
"base","10yr","male","total_cvd","bp_tx",0.288879
"base","10yr","female","ascvd","bp_tx",0.2265309
"base","10yr","male","ascvd","bp_tx",0.2036522
"base","10yr","female","heart_failure","bp_tx",0.3534442
"base","10yr","male","heart_failure","bp_tx",0.2980922
"base","10yr","female","chd","bp_tx",0.2010642
"base","10yr","male","chd","bp_tx",0.1588199
"base","10yr","female","stroke","bp_tx",0.2494624
"base","10yr","male","stroke","bp_tx",0.232963
"base","10yr","female","total_cvd","statin",-0.1477655
"base","10yr","male","total_cvd","statin",-0.1337349
"base","10yr","female","ascvd","statin",-0.0592374
"base","10yr","male","ascvd","statin",-0.0865581
"base","10yr","female","heart_failure","statin",0
"base","10yr","male","heart_failure","statin",0
"base","10yr","female","chd","statin",-0.036195
"base","10yr","male","chd","statin",-0.0494555
"base","10yr","female","stroke","statin",-0.0798829
"base","10yr","male","stroke","statin",-0.1178935
"base","10yr","female","total_cvd","bp_tx_sbp_gte_110",-0.0663612
"base","10yr","male","total_cvd","bp_tx_sbp_gte_110",-0.0475924
"base","10yr","female","ascvd","bp_tx_sbp_gte_110",-0.0395762
"base","10yr","male","ascvd","bp_tx_sbp_gte_110",-0.0322916
"base","10yr","female","heart_failure","bp_tx_sbp_gte_110",-0.0981511
"base","10yr","male","heart_failure","bp_tx_sbp_gte_110",-0.0497731
"base","10yr","female","chd","bp_tx_sbp_gte_110",-0.0891238
"base","10yr","male","chd","bp_tx_sbp_gte_110",-0.0577851
"base","10yr","female","stroke","bp_tx_sbp_gte_110",-0.0079039
"base","10yr","male","stroke","bp_tx_sbp_gte_110",0.0120926
"base","10yr","female","total_cvd","statin_non_hdl_c",0.1197879
"base","10yr","male","total_cvd","statin_non_hdl_c",0.150273
"base","10yr","female","ascvd","statin_non_hdl_c",0.0844423
"base","10yr","male","ascvd","statin_non_hdl_c",0.114563
"base","10yr","female","heart_failure","statin_non_hdl_c",0
"base","10yr","male","heart_failure","statin_non_hdl_c",0
"base","10yr","female","chd","statin_non_hdl_c",0.0750716
"base","10yr","male","chd","statin_non_hdl_c",0.0809765
"base","10yr","female","stroke","statin_non_hdl_c",0.0833101
"base","10yr","male","stroke","statin_non_hdl_c",0.155739
"base","10yr","female","total_cvd","age_non_hdl_c",-0.0819715
"base","10yr","male","total_cvd","age_non_hdl_c",-0.0517874
"base","10yr","female","ascvd","age_non_hdl_c",-0.0567839
"base","10yr","male","ascvd","age_non_hdl_c",-0.0300005
"base","10yr","female","heart_failure","age_non_hdl_c",0
"base","10yr","male","heart_failure","age_non_hdl_c",0
"base","10yr","female","chd","age_non_hdl_c",-0.0683256
"base","10yr","male","chd","age_non_hdl_c",-0.0517872
"base","10yr","female","stroke","age_non_hdl_c",-0.0409242
"base","10yr","male","stroke","age_non_hdl_c",0.0141928
"base","10yr","female","total_cvd","age_hdl_c",0.0306769
"base","10yr","male","total_cvd","age_hdl_c",0.0191169
"base","10yr","female","ascvd","age_hdl_c",0.0325692
"base","10yr","male","ascvd","age_hdl_c",0.0232747
"base","10yr","female","heart_failure","age_hdl_c",0
"base","10yr","male","heart_failure","age_hdl_c",0
"base","10yr","female","chd","age_hdl_c",0.0484755
"base","10yr","male","chd","age_hdl_c",0.0489033
"base","10yr","female","stroke","age_hdl_c",0.016994
"base","10yr","male","stroke","age_hdl_c",-0.0111745
"base","10yr","female","total_cvd","age_sbp_gte_110",-0.0946348
"base","10yr","male","total_cvd","age_sbp_gte_110",-0.1049477
"base","10yr","female","ascvd","age_sbp_gte_110",-0.1035985
"base","10yr","male","ascvd","age_sbp_gte_110",-0.0927024
"base","10yr","female","heart_failure","age_sbp_gte_110",-0.0946663
"base","10yr","male","heart_failure","age_sbp_gte_110",-0.1289201
